Greenhous Gas Concentrations and Forcing
   Age     CO2       CH4       Fghgs
  80.4    230.09    549.57    -1.102
  80.6    230.88    549.04    -1.081
  80.8    231.95    550.98    -1.050
  81.0    233.08    573.64    -0.992
  81.2    234.21    579.37    -0.955
  81.4    235.35    585.41    -0.917
  81.6    236.48    586.51    -0.886
  81.8    237.61    580.46    -0.862
  82.0    238.74    604.69    -0.804
  82.2    239.87    615.13    -0.763
  82.4    240.82    616.84    -0.736
  82.6    240.16    621.27    -0.748
  82.8    239.13    627.22    -0.769
  83.0    238.11    629.67    -0.793
  83.2    237.08    586.00    -0.870
  83.4    235.56    535.95    -0.970
  83.6    233.12    503.18    -1.076
  83.8    230.66    480.16    -1.173
  84.0    228.18    465.98    -1.259
  84.2    225.47    463.01    -1.339
  84.4    222.72    450.10    -1.433
  84.6    219.97    447.96    -1.514
  84.8    217.22    447.33    -1.594
  85.0    214.73    445.10    -1.669
  85.2    214.63    451.47    -1.664
  85.4    215.12    453.07    -1.648
  85.6    215.60    441.95    -1.648
  85.8    216.08    429.05    -1.652
  86.0    216.56    434.98    -1.630
  86.2    216.78    460.06    -1.590
  86.4    215.87    439.70    -1.643
  86.6    214.83    438.33    -1.676
  86.8    213.79    447.22    -1.694
  87.0    212.76    448.16    -1.723
  87.2    211.72    465.49    -1.731
  87.4    210.68    485.56    -1.736
  87.6    209.64    503.05    -1.745
  87.8    208.61    503.80    -1.775
  88.0    208.56    504.14    -1.776
  88.2    209.88    506.78    -1.733
  88.4    211.21    503.32    -1.698
  88.6    212.53    498.64    -1.665
  88.8    213.86    494.59    -1.631
  89.0    215.19    493.56    -1.593
  89.2    216.52    484.17    -1.566
  89.4    217.84    472.08    -1.544
  89.6    219.17    462.90    -1.517
  89.8    220.50    455.80    -1.488
  90.0    221.83    448.92    -1.460
  90.2    223.16    445.71    -1.426
  90.4    224.38    448.24    -1.388
  90.6    225.32    456.40    -1.351
  90.8    226.24    451.12    -1.333
  91.0    227.15    436.72    -1.327
  91.2    228.05    433.51    -1.306
  91.4    228.48    440.14    -1.285
  91.6    228.72    447.14    -1.269
  91.8    228.96    446.30    -1.263
  92.0    229.20    439.51    -1.266
  92.2    229.43    437.11    -1.263
  92.4    229.67    438.34    -1.255
  92.6    229.91    441.16    -1.244
  92.8    230.15    439.95    -1.239
  93.0    230.39    438.33    -1.235
  93.2    230.62    437.10    -1.230
  93.4    230.86    436.24    -1.225
  93.6    231.10    439.94    -1.213
  93.8    231.34    438.42    -1.209
  94.0    231.58    439.04    -1.201
  94.2    231.82    450.27    -1.180
  94.4    231.93    440.80    -1.189
  94.6    231.72    445.87    -1.188
  94.8    231.50    448.60    -1.191
  95.0    231.27    441.18    -1.207
  95.2    231.04    436.84    -1.219
  95.4    230.82    446.68    -1.212
  95.6    230.59    457.64    -1.204
  95.8    230.37    467.93    -1.196
  96.0    230.14    482.30    -1.184
  96.2    229.92    481.30    -1.191
  96.4    229.69    485.23    -1.193
  96.6    229.46    495.65    -1.186
  96.8    229.24    499.67    -1.187
  97.0    229.01    494.32    -1.200
  97.2    228.79    489.41    -1.212
  97.4    228.56    491.18    -1.216
  97.6    228.34    502.41    -1.208
  97.8    228.11    505.58    -1.211
  98.0    227.89    508.37    -1.213
  98.2    227.66    511.39    -1.216
  98.4    227.43    513.17    -1.220
  98.6    227.21    520.77    -1.217
  98.8    226.98    524.90    -1.218
  99.0    226.76    526.07    -1.223
  99.2    226.53    525.82    -1.230
  99.4    226.31    525.34    -1.236
  99.6    226.08    527.24    -1.240
